+-------------+---------------+----------+----+------+
| first_name  |   last_name   |  salary  | HR | year |
| Shawn       | Abner         | 297500   | 1  | 1992 |
| Bobby       | Abreu         | 150000   | 3  | 1997 |
| Bobby       | Abreu         | 180000   | 17 | 1998 |
| Bobby       | Abreu         | 400000   | 20 | 1999 |
| Bobby       | Abreu         | 2933333  | 25 | 2000 |
| Bobby       | Abreu         | 4983000  | 31 | 2001 |
| Juan        | Acevedo       | 109000   | 0  | 1995 |
| Juan        | Acevedo       | 200000   | 0  | 1998 |
| Juan        | Acevedo       | 475000   | 0  | 1999 |
| Juan        | Acevedo       | 612500   | 0  | 2000 |
| Jim         | Acker         | 170000   | 0  | 1985 |
| Jim         | Acker         | 367500   | 0  | 1986 |
| Jim         | Acker         | 367500   | 0  | 1986 |
| Jim         | Acker         | 350000   | 0  | 1987 |
| Jim         | Acker         | 435000   | 0  | 1988 |
| Jim         | Acker         | 688000   | 0  | 1989 |
| Jim         | Acker         | 688000   | 0  | 1989 |
| Jim         | Acker         | 700000   | 0  | 1990 |
| Jim         | Acker         | 275000   | 0  | 1992 |
| Mark        | Acre          | 109000   | 0  | 1994 |
| Mark        | Acre          | 120000   | 0  | 1995 |
| Mark        | Acre          | 140000   | 0  | 1996 |
| Mark        | Acre          | 165000   | 0  | 1997 |
| Joel        | Adamson       | 151000   | 0  | 1997 |
| Joel        | Adamson       | 210000   | 0  | 1998 |
| Terry       | Adams         | 109000   | 0  | 1995 |
| Terry       | Adams         | 113000   | 0  | 1996 |
| Terry       | Adams         | 215000   | 0  | 1997 |
| Terry       | Adams         | 295000   | 0  | 1998 |
| Terry       | Adams         | 736000   | 0  | 1999 |
| Terry       | Adams         | 1400000  | 0  | 2000 |
| Terry       | Adams         | 2600000  | 0  | 2001 |
| Willie      | Adams         | 109000   | 0  | 1996 |
| Willie      | Adams         | 157500   | 0  | 1997 |
| Troy        | Afenir        | 100000   | 0  | 1990 |
| Troy        | Afenir        | 130000   | 0  | 1992 |
| Benny       | Agbayani      | 200000   | 14 | 1999 |
| Benny       | Agbayani      | 220000   | 15 | 2000 |
| Benny       | Agbayani      | 260000   | 6  | 2001 |
| Juan        | Agosto        | 147500   | 0  | 1985 |
| Juan        | Agosto        | 100000   | 0  | 1987 |
| Juan        | Agosto        | 157500   | 0  | 1988 |
| Juan        | Agosto        | 610000   | 0  | 1989 |
| Juan        | Agosto        | 850000   | 0  | 1990 |
| Juan        | Agosto        | 1166667  | 0  | 1991 |
| Juan        | Agosto        | 1666667  | 0  | 1992 |
| Juan        | Agosto        | 1666667  | 0  | 1992 |
| Luis        | Aguayo        | 237000   | 6  | 1985 |
| Luis        | Aguayo        | 275000   | 4  | 1986 |
| Luis        | Aguayo        | 325000   | 12 | 1987 |
| Luis        | Aguayo        | 375000   | 3  | 1988 |
| Luis        | Aguayo        | 375000   | 3  | 1988 |
| Luis        | Aguayo        | 275000   | 1  | 1989 |
| Rick        | Aguilera      | 130000   | 2  | 1986 |
| Rick        | Aguilera      | 195000   | 1  | 1987 |
| Rick        | Aguilera      | 295000   | 0  | 1988 |
| Rick        | Aguilera      | 310000   | 0  | 1989 |
| Rick        | Aguilera      | 310000   | 0  | 1989 |
| Rick        | Aguilera      | 648000   | 0  | 1990 |
| Rick        | Aguilera      | 1533333  | 0  | 1991 |
| Rick        | Aguilera      | 2308333  | 0  | 1992 |
| Rick        | Aguilera      | 2433333  | 0  | 1993 |
| Rick        | Aguilera      | 3260000  | 0  | 1994 |
| Rick        | Aguilera      | 4350000  | 0  | 1995 |
| Rick        | Aguilera      | 4350000  | 0  | 1995 |
| Rick        | Aguilera      | 3500000  | 0  | 1996 |
| Rick        | Aguilera      | 3075000  | 0  | 1997 |
| Rick        | Aguilera      | 2750000  | 0  | 1998 |
| Rick        | Aguilera      | 4300000  | 0  | 1999 |
| Rick        | Aguilera      | 4300000  | 0  | 1999 |
| Rick        | Aguilera      | 3500000  | 0  | 2000 |
| Darrel      | Akerfelds     | 62500    | 0  | 1987 |
| Darrel      | Akerfelds     | 102500   | 0  | 1990 |
| Darrel      | Akerfelds     | 165000   | 0  | 1991 |
| Jose        | Alberro       | 109000   | 0  | 1995 |
| Mike        | Aldrete       | 60000    | 2  | 1986 |
| Mike        | Aldrete       | 75000    | 9  | 1987 |
| Mike        | Aldrete       | 160000   | 3  | 1988 |
| Mike        | Aldrete       | 202500   | 1  | 1989 |
| Mike        | Aldrete       | 297500   | 1  | 1990 |
| Mike        | Aldrete       | 510000   | 1  | 1991 |
| Mike        | Aldrete       | 510000   | 0  | 1991 |
| Mike        | Aldrete       | 200000   | 10 | 1993 |
| Mike        | Aldrete       | 430000   | 4  | 1994 |
| Mike        | Aldrete       | 430000   | 4  | 1995 |
| Mike        | Aldrete       | 430000   | 0  | 1995 |
| Mike        | Aldrete       | 250000   | 3  | 1996 |
| Mike        | Aldrete       | 250000   | 3  | 1996 |
| Scott       | Aldred        | 100000   | 0  | 1990 |
| Scott       | Aldred        | 130000   | 0  | 1992 |
| Scott       | Aldred        | 140000   | 0  | 1993 |
| Scott       | Aldred        | 140000   | 0  | 1993 |
| Scott       | Aldred        | 150000   | 0  | 1996 |
| Scott       | Aldred        | 150000   | 0  | 1996 |
| Scott       | Aldred        | 225000   | 0  | 1997 |
| Scott       | Aldred        | 275000   | 0  | 1998 |
| Scott       | Aldred        | 545000   | 0  | 1999 |
| Scott       | Aldred        | 545000   | 0  | 1999 |
| Scott       | Aldred        | 600000   | 0  | 2000 |
| Jay         | Aldrich       | 62500    | 0  | 1987 |
| Doyle       | Alexander     | 875000   | 0  | 1985 |
| Doyle       | Alexander     | 700000   | 0  | 1986 |
| Doyle       | Alexander     | 700000   | 0  | 1986 |
| Doyle       | Alexander     | 650000   | 0  | 1987 |
| Doyle       | Alexander     | 650000   | 0  | 1987 |
| Doyle       | Alexander     | 500000   | 0  | 1988 |
| Doyle       | Alexander     | 1000000  | 0  | 1989 |
| Manny       | Alexander     | 109000   | 0  | 1992 |
| Manny       | Alexander     | 109000   | 0  | 1993 |
| Manny       | Alexander     | 130000   | 3  | 1995 |
| Manny       | Alexander     | 190000   | 0  | 1996 |
| Manny       | Alexander     | 205000   | 2  | 1997 |
| Manny       | Alexander     | 205000   | 1  | 1997 |
| Manny       | Alexander     | 425000   | 5  | 1998 |
| Manny       | Alexander     | 475000   | 0  | 1999 |
| Manny       | Alexander     | 612500   | 4  | 2000 |
| Antonio     | Alfonseca     | 150000   | 0  | 1997 |
| Antonio     | Alfonseca     | 175000   | 0  | 1998 |
| Antonio     | Alfonseca     | 250000   | 0  | 1999 |
| Antonio     | Alfonseca     | 380000   | 0  | 2000 |
| Antonio     | Alfonseca     | 2450000  | 0  | 2001 |
| Edgardo     | Alfonzo       | 109000   | 4  | 1995 |
| Edgardo     | Alfonzo       | 180000   | 4  | 1996 |
| Edgardo     | Alfonzo       | 215000   | 10 | 1997 |
| Edgardo     | Alfonzo       | 1750000  | 17 | 1998 |
| Edgardo     | Alfonzo       | 2800000  | 27 | 1999 |
| Edgardo     | Alfonzo       | 4225000  | 25 | 2000 |
| Edgardo     | Alfonzo       | 5750000  | 17 | 2001 |
| Luis        | Alicea        | 160000   | 3  | 1993 |
| Luis        | Alicea        | 650000   | 5  | 1994 |
| Luis        | Alicea        | 800000   | 6  | 1995 |
| Luis        | Alicea        | 750000   | 5  | 1996 |
| Luis        | Alicea        | 650000   | 5  | 1997 |
| Luis        | Alicea        | 750000   | 6  | 1998 |
| Luis        | Alicea        | 825000   | 3  | 1999 |
| Luis        | Alicea        | 750000   | 6  | 2000 |
| Luis        | Alicea        | 800000   | 4  | 2001 |
| Andy        | Allanson      | 60000    | 1  | 1986 |
| Andy        | Allanson      | 75000    | 3  | 1987 |
| Andy        | Allanson      | 102500   | 5  | 1988 |
| Andy        | Allanson      | 235000   | 3  | 1989 |
| Andy        | Allanson      | 100000   | 1  | 1991 |
| Andy        | Allanson      | 120000   | 0  | 1993 |
| Andy        | Allanson      | 150000   | 3  | 1995 |
| Chad        | Allen         | 200000   | 10 | 1999 |
| Chad        | Allen         | 240000   | 4  | 2001 |
| Jermaine    | Allensworth   | 109000   | 4  | 1996 |
| Jermaine    | Allensworth   | 160000   | 3  | 1997 |
| Jermaine    | Allensworth   | 260000   | 3  | 1998 |
| Jermaine    | Allensworth   | 260000   | 2  | 1998 |
| Jermaine    | Allensworth   | 260000   | 0  | 1998 |
| Jermaine    | Allensworth   | 284000   | 3  | 1999 |
| Neil        | Allen         | 750000   | 0  | 1985 |
| Neil        | Allen         | 750000   | 0  | 1985 |
| Neil        | Allen         | 900000   | 0  | 1986 |
| Neil        | Allen         | 1250000  | 0  | 1987 |
| Neil        | Allen         | 1250000  | 0  | 1987 |
| Neil        | Allen         | 250000   | 0  | 1988 |
| Neil        | Allen         | 325000   | 0  | 1989 |
| Beau        | Allred        | 100000   | 1  | 1990 |
| Beau        | Allred        | 102500   | 3  | 1991 |
| Armando     | Almanza       | 200000   | 0  | 1999 |
| Armando     | Almanza       | 203000   | 0  | 2000 |
| Armando     | Almanza       | 225000   | 0  | 2001 |
| Carlos      | Almanzar      | 172500   | 0  | 1998 |
| Carlos      | Almanzar      | 215000   | 0  | 2000 |
| Carlos      | Almanzar      | 270000   | 0  | 2001 |
| Bill        | Almon         | 255000   | 6  | 1985 |
| Bill        | Almon         | 260000   | 7  | 1986 |
| Bill        | Almon         | 250000   | 0  | 1987 |
| Bill        | Almon         | 250000   | 0  | 1987 |
| Bill        | Almon         | 250000   | 0  | 1988 |
| Roberto     | Alomar        | 150000   | 7  | 1989 |
| Roberto     | Alomar        | 390000   | 6  | 1990 |
| Roberto     | Alomar        | 1300000  | 9  | 1991 |
| Roberto     | Alomar        | 2983333  | 8  | 1992 |
| Roberto     | Alomar        | 4933333  | 17 | 1993 |
| Roberto     | Alomar        | 5433334  | 8  | 1994 |
| Roberto     | Alomar        | 5500000  | 13 | 1995 |
| Roberto     | Alomar        | 4279379  | 22 | 1996 |
| Roberto     | Alomar        | 6354379  | 14 | 1997 |
| Roberto     | Alomar        | 6343771  | 14 | 1998 |
| Roberto     | Alomar        | 7049966  | 24 | 1999 |
| Roberto     | Alomar        | 7196656  | 19 | 2000 |
| Roberto     | Alomar        | 7750000  | 20 | 2001 |
| Sandy       | Alomar        | 115000   | 9  | 1990 |
| Sandy       | Alomar        | 360000   | 0  | 1991 |
| Sandy       | Alomar        | 525000   | 2  | 1992 |
| Sandy       | Alomar        | 1300000  | 6  | 1993 |
| Sandy       | Alomar        | 2200000  | 14 | 1994 |
| Sandy       | Alomar        | 2550000  | 10 | 1995 |
| Sandy       | Alomar        | 2575000  | 11 | 1996 |
| Sandy       | Alomar        | 2600000  | 21 | 1997 |
| Sandy       | Alomar        | 2725000  | 6  | 1998 |
| Sandy       | Alomar        | 2800000  | 6  | 1999 |
| Sandy       | Alomar        | 2700000  | 7  | 2000 |
| Sandy       | Alomar        | 2900000  | 4  | 2001 |
| Moises      | Alou          | 100000   | 0  | 1990 |
| Moises      | Alou          | 100000   | 0  | 1990 |
| Moises      | Alou          | 110500   | 9  | 1992 |
| Moises      | Alou          | 210000   | 18 | 1993 |
| Moises      | Alou          | 1415000  | 22 | 1994 |
| Moises      | Alou          | 3000000  | 14 | 1995 |
| Moises      | Alou          | 3050000  | 21 | 1996 |
| Moises      | Alou          | 4500000  | 23 | 1997 |
| Moises      | Alou          | 5020000  | 38 | 1998 |
| Moises      | Alou          | 5250000  | 30 | 2000 |
| Moises      | Alou          | 5250000  | 27 | 2001 |
| Gabe        | Alvarez       | 170000   | 5  | 1998 |
| Jose        | Alvarez       | 125000   | 0  | 1989 |
| Tavo        | Alvarez       | 109000   | 0  | 1996 |
| Wilson      | Alvarez       | 100000   | 0  | 1991 |
| Wilson      | Alvarez       | 130000   | 0  | 1992 |
| Wilson      | Alvarez       | 180000   | 0  | 1993 |
| Wilson      | Alvarez       | 285000   | 0  | 1994 |
| Wilson      | Alvarez       | 2250000  | 0  | 1995 |
| Wilson      | Alvarez       | 2825000  | 0  | 1996 |
| Wilson      | Alvarez       | 4662500  | 0  | 1997 |
| Wilson      | Alvarez       | 4662500  | 0  | 1997 |
| Wilson      | Alvarez       | 4500000  | 0  | 1998 |
| Wilson      | Alvarez       | 4500000  | 0  | 1999 |
| Rich        | Amaral        | 137500   | 1  | 1993 |
| Rich        | Amaral        | 232500   | 4  | 1994 |
| Rich        | Amaral        | 250000   | 2  | 1995 |
| Rich        | Amaral        | 450000   | 1  | 1996 |
| Rich        | Amaral        | 550000   | 1  | 1997 |
| Rich        | Amaral        | 550000   | 1  | 1998 |
| Rich        | Amaral        | 500000   | 0  | 1999 |
| Rich        | Amaral        | 500000   | 0  | 2000 |
| Ruben       | Amaro         | 109000   | 7  | 1992 |
| Ruben       | Amaro         | 150000   | 1  | 1993 |
| Ruben       | Amaro         | 163000   | 2  | 1994 |
| Ruben       | Amaro         | 175000   | 1  | 1995 |
| Ruben       | Amaro         | 109000   | 2  | 1996 |
| Ruben       | Amaro         | 275000   | 2  | 1997 |
| Ruben       | Amaro         | 265000   | 1  | 1998 |
| Allan       | Anderson      | 200000   | 0  | 1989 |
| Allan       | Anderson      | 300000   | 0  | 1990 |
| Allan       | Anderson      | 785000   | 0  | 1991 |
| Brady       | Anderson      | 62500    | 1  | 1988 |
| Brady       | Anderson      | 62500    | 0  | 1988 |
| Brady       | Anderson      | 120000   | 3  | 1990 |
| Brady       | Anderson      | 165000   | 2  | 1991 |
| Brady       | Anderson      | 365000   | 21 | 1992 |
| Brady       | Anderson      | 1855000  | 13 | 1993 |
| Brady       | Anderson      | 3083333  | 12 | 1994 |
| Brady       | Anderson      | 3333333  | 16 | 1995 |
| Brady       | Anderson      | 3613333  | 50 | 1996 |
| Brady       | Anderson      | 4050000  | 18 | 1997 |
| Brady       | Anderson      | 5441843  | 18 | 1998 |
| Brady       | Anderson      | 5674897  | 24 | 1999 |
| Brady       | Anderson      | 7127199  | 19 | 2000 |
| Brady       | Anderson      | 7200000  | 8  | 2001 |
| Brian       | Anderson      | 109000   | 0  | 1993 |
| Brian       | Anderson      | 120000   | 0  | 1994 |
| Brian       | Anderson      | 135000   | 0  | 1995 |
| Brian       | Anderson      | 775000   | 0  | 1998 |
| Brian       | Anderson      | 1800000  | 1  | 1999 |
| Brian       | Anderson      | 2250000  | 0  | 2000 |
| Brian       | Anderson      | 4125000  | 0  | 2001 |
| Dave        | Anderson      | 200000   | 1  | 1986 |
| Dave        | Anderson      | 225000   | 1  | 1987 |
| Dave        | Anderson      | 262500   | 2  | 1988 |
| Dave        | Anderson      | 420000   | 1  | 1989 |
| Dave        | Anderson      | 500000   | 1  | 1990 |
| Dave        | Anderson      | 600000   | 2  | 1991 |
| Dave        | Anderson      | 350000   | 3  | 1992 |
| Garret      | Anderson      | 109000   | 0  | 1994 |
| Garret      | Anderson      | 114000   | 16 | 1995 |
| Garret      | Anderson      | 250000   | 12 | 1996 |
| Garret      | Anderson      | 600000   | 8  | 1997 |
| Garret      | Anderson      | 1500000  | 15 | 1998 |
| Garret      | Anderson      | 2200000  | 21 | 1999 |
| Garret      | Anderson      | 3250000  | 35 | 2000 |
| Garret      | Anderson      | 4500000  | 28 | 2001 |
| Jimmy       | Anderson      | 200000   | 0  | 1999 |
| Jimmy       | Anderson      | 215000   | 0  | 2000 |
| Jimmy       | Anderson      | 285000   | 0  | 2001 |
| Kent        | Anderson      | 68000    | 0  | 1989 |
| Kent        | Anderson      | 105000   | 1  | 1990 |
| Larry       | Andersen      | 250500   | 0  | 1985 |
| Larry       | Andersen      | 240000   | 0  | 1986 |
| Larry       | Andersen      | 240000   | 0  | 1986 |
| Larry       | Andersen      | 60000    | 0  | 1986 |
| Larry       | Andersen      | 60000    | 0  | 1986 |
| Larry       | Andersen      | 300000   | 0  | 1987 |
| Larry       | Andersen      | 450000   | 0  | 1988 |
| Larry       | Andersen      | 475000   | 0  | 1989 |
| Larry       | Andersen      | 965000   | 0  | 1990 |
| Larry       | Andersen      | 965000   | 0  | 1990 |
| Larry       | Andersen      | 2000000  | 0  | 1991 |
| Larry       | Andersen      | 2000000  | 0  | 1992 |
| Larry       | Andersen      | 700000   | 0  | 1993 |
| Larry       | Andersen      | 350000   | 0  | 1994 |
| Matt        | Anderson      | 170000   | 0  | 1998 |
| Matt        | Anderson      | 240000   | 0  | 1999 |
| Matt        | Anderson      | 255000   | 0  | 2000 |
| Matt        | Anderson      | 355000   | 0  | 2001 |
| Marlon      | Anderson      | 200000   | 5  | 1999 |
| Marlon      | Anderson      | 280000   | 11 | 2001 |
| Shane       | Andrews       | 109000   | 8  | 1995 |
| Shane       | Andrews       | 135000   | 19 | 1996 |
| Shane       | Andrews       | 225000   | 4  | 1997 |
| Shane       | Andrews       | 450000   | 25 | 1998 |
| Shane       | Andrews       | 1250000  | 11 | 1999 |
| Shane       | Andrews       | 1250000  | 5  | 1999 |
| Shane       | Andrews       | 1000000  | 14 | 2000 |
| Joaquin     | Andujar       | 1030000  | 0  | 1985 |
| Joaquin     | Andujar       | 1233333  | 0  | 1986 |
| Joaquin     | Andujar       | 1353333  | 0  | 1987 |
| Joaquin     | Andujar       | 450000   | 0  | 1988 |
| Luis        | Andujar       | 170000   | 0  | 1997 |
| Rick        | Ankiel        | 200000   | 0  | 1999 |
| Rick        | Ankiel        | 202500   | 2  | 2000 |
| Rick        | Ankiel        | 400000   | 0  | 2001 |
| Eric        | Anthony       | 68000    | 4  | 1989 |
| Eric        | Anthony       | 115000   | 1  | 1991 |
| Eric        | Anthony       | 120000   | 19 | 1992 |
| Eric        | Anthony       | 350000   | 15 | 1993 |
| Eric        | Anthony       | 1100000  | 10 | 1994 |
| Eric        | Anthony       | 575000   | 5  | 1995 |
| Eric        | Anthony       | 1025000  | 8  | 1996 |
| Eric        | Anthony       | 1025000  | 4  | 1996 |
| Kevin       | Appier        | 100000   | 0  | 1990 |
| Kevin       | Appier        | 215000   | 0  | 1991 |
| Kevin       | Appier        | 390000   | 0  | 1992 |
| Kevin       | Appier        | 2000000  | 0  | 1993 |
| Kevin       | Appier        | 3800000  | 0  | 1994 |
| Kevin       | Appier        | 4387500  | 0  | 1995 |
| Kevin       | Appier        | 5051250  | 0  | 1996 |
| Kevin       | Appier        | 4800000  | 0  | 1997 |
| Kevin       | Appier        | 4800000  | 0  | 1998 |
| Kevin       | Appier        | 4800000  | 0  | 1999 |
| Kevin       | Appier        | 4800000  | 0  | 1999 |
| Kevin       | Appier        | 5600000  | 0  | 2000 |
| Kevin       | Appier        | 8500000  | 0  | 2001 |
| Luis        | Aquino        | 68000    | 0  | 1989 |
| Luis        | Aquino        | 108000   | 0  | 1990 |
| Luis        | Aquino        | 160000   | 0  | 1991 |
| Luis        | Aquino        | 650000   | 0  | 1992 |
| Luis        | Aquino        | 735000   | 0  | 1993 |
| Luis        | Aquino        | 575000   | 0  | 1994 |
| Luis        | Aquino        | 420000   | 0  | 1995 |
| Luis        | Aquino        | 420000   | 0  | 1995 |
| Alex        | Arias         | 123000   | 2  | 1993 |
| Alex        | Arias         | 155000   | 0  | 1994 |
| Alex        | Arias         | 200000   | 3  | 1995 |
| Alex        | Arias         | 412500   | 3  | 1996 |
| Alex        | Arias         | 450000   | 1  | 1997 |
| Alex        | Arias         | 425000   | 1  | 1998 |
| Alex        | Arias         | 625000   | 4  | 1999 |
| Alex        | Arias         | 550000   | 2  | 2000 |
| Alex        | Arias         | 550000   | 2  | 2001 |
| George      | Arias         | 109000   | 6  | 1996 |
| George      | Arias         | 181000   | 1  | 1998 |
| George      | Arias         | 215000   | 7  | 1999 |
| Tony        | Armas         | 915000   | 23 | 1985 |
| Tony        | Armas         | 1000000  | 11 | 1986 |
| Tony        | Armas         | 62500    | 3  | 1987 |
| Tony        | Armas         | 100000   | 13 | 1988 |
| Tony        | Armas         | 525000   | 11 | 1989 |
| Tony        | Armas         | 200000   | 0  | 2000 |
| Tony        | Armas         | 230000   | 0  | 2001 |
| Jack        | Armstrong     | 107500   | 0  | 1990 |
| Jack        | Armstrong     | 215000   | 0  | 1991 |
| Jack        | Armstrong     | 281545   | 0  | 1992 |
| Jack        | Armstrong     | 854545   | 0  | 1993 |
| Jack        | Armstrong     | 1150000  | 0  | 1994 |
| Tony        | Arnold        | 62500    | 0  | 1987 |
| Brad        | Arnsberg      | 68000    | 0  | 1987 |
| Brad        | Arnsberg      | 107500   | 0  | 1990 |
| Brad        | Arnsberg      | 287500   | 0  | 1991 |
| Brad        | Arnsberg      | 150000   | 0  | 1992 |
| Rene        | Arocha        | 109000   | 0  | 1993 |
| Rene        | Arocha        | 160000   | 0  | 1994 |
| Rene        | Arocha        | 195000   | 0  | 1995 |
| Rolando     | Arrojo        | 245000   | 0  | 1998 |
| Rolando     | Arrojo        | 250000   | 0  | 1999 |
| Rolando     | Arrojo        | 325000   | 0  | 2000 |
| Rolando     | Arrojo        | 325000   | 0  | 2000 |
| Rolando     | Arrojo        | 1625000  | 0  | 2001 |
| Bronson     | Arroyo        | 225000   | 0  | 2001 |
| Alan        | Ashby         | 416667   | 8  | 1985 |
| Alan        | Ashby         | 525000   | 7  | 1986 |
| Alan        | Ashby         | 575000   | 14 | 1987 |
| Alan        | Ashby         | 450000   | 7  | 1988 |
| Andy        | Ashby         | 109000   | 0  | 1992 |
| Andy        | Ashby         | 150000   | 0  | 1993 |
| Andy        | Ashby         | 150000   | 0  | 1993 |
| Andy        | Ashby         | 225000   | 0  | 1994 |
| Andy        | Ashby         | 755000   | 0  | 1995 |
| Andy        | Ashby         | 2000000  | 0  | 1996 |
| Andy        | Ashby         | 3400000  | 0  | 1997 |
| Andy        | Ashby         | 4125000  | 0  | 1998 |
| Andy        | Ashby         | 5050000  | 0  | 1999 |
| Andy        | Ashby         | 5900000  | 0  | 2000 |
| Andy        | Ashby         | 5900000  | 0  | 2000 |
| Andy        | Ashby         | 6000000  | 0  | 2001 |
| Billy       | Ashley        | 124000   | 0  | 1993 |
| Billy       | Ashley        | 134000   | 0  | 1994 |
| Billy       | Ashley        | 136000   | 8  | 1995 |
| Billy       | Ashley        | 195000   | 9  | 1996 |
| Billy       | Ashley        | 275000   | 6  | 1997 |
| Paul        | Assenmacher   | 60000    | 0  | 1986 |
| Paul        | Assenmacher   | 80000    | 0  | 1987 |
| Paul        | Assenmacher   | 81000    | 0  | 1988 |
| Paul        | Assenmacher   | 271000   | 0  | 1989 |
| Paul        | Assenmacher   | 271000   | 0  | 1989 |
| Paul        | Assenmacher   | 450000   | 0  | 1990 |
| Paul        | Assenmacher   | 1110000  | 0  | 1991 |
| Paul        | Assenmacher   | 1913333  | 0  | 1992 |
| Paul        | Assenmacher   | 2665333  | 0  | 1993 |
| Paul        | Assenmacher   | 2665333  | 0  | 1993 |
| Paul        | Assenmacher   | 2637334  | 0  | 1994 |
| Paul        | Assenmacher   | 1287000  | 0  | 1995 |
| Paul        | Assenmacher   | 871400   | 0  | 1996 |
| Paul        | Assenmacher   | 875000   | 0  | 1997 |
| Paul        | Assenmacher   | 1325000  | 0  | 1998 |
| Paul        | Assenmacher   | 1507000  | 0  | 1999 |
| Pedro       | Astacio       | 136000   | 0  | 1993 |
| Pedro       | Astacio       | 325000   | 0  | 1994 |
| Pedro       | Astacio       | 425000   | 0  | 1995 |
| Pedro       | Astacio       | 1100000  | 0  | 1996 |
| Pedro       | Astacio       | 2900000  | 0  | 1997 |
| Pedro       | Astacio       | 2900000  | 0  | 1997 |
| Pedro       | Astacio       | 3350000  | 0  | 1998 |
| Pedro       | Astacio       | 6150000  | 0  | 1999 |
| Pedro       | Astacio       | 6350000  | 0  | 2000 |
| Pedro       | Astacio       | 6850000  | 0  | 2001 |
| Pedro       | Astacio       | 6850000  | 0  | 2001 |
| Keith       | Atherton      | 107333   | 0  | 1985 |
| Keith       | Atherton      | 183700   | 0  | 1986 |
| Keith       | Atherton      | 183700   | 0  | 1986 |
| Keith       | Atherton      | 300000   | 0  | 1987 |
| Keith       | Atherton      | 345000   | 0  | 1988 |
| Don         | August        | 170000   | 0  | 1990 |
| Rich        | Aurilia       | 109000   | 2  | 1995 |
| Rich        | Aurilia       | 110500   | 3  | 1996 |
| Rich        | Aurilia       | 175000   | 5  | 1997 |
| Rich        | Aurilia       | 265000   | 9  | 1998 |
| Rich        | Aurilia       | 950000   | 22 | 1999 |
| Rich        | Aurilia       | 1550000  | 20 | 2000 |
| Rich        | Aurilia       | 3250000  | 37 | 2001 |
| Joe         | Ausanio       | 110000   | 0  | 1995 |
| Brad        | Ausmus        | 109000   | 5  | 1993 |
| Brad        | Ausmus        | 133500   | 7  | 1994 |
| Brad        | Ausmus        | 197000   | 5  | 1995 |
| Brad        | Ausmus        | 350000   | 4  | 1996 |
| Brad        | Ausmus        | 350000   | 1  | 1996 |
| Brad        | Ausmus        | 1075000  | 4  | 1997 |
| Brad        | Ausmus        | 1600000  | 6  | 1998 |
| Brad        | Ausmus        | 2200000  | 9  | 1999 |
| Brad        | Ausmus        | 4000000  | 7  | 2000 |
| Brad        | Ausmus        | 4250000  | 5  | 2001 |
| Jim         | Austin        | 109000   | 0  | 1992 |
| Jim         | Austin        | 150000   | 0  | 1993 |
| Bruce       | Aven          | 200000   | 12 | 1999 |
| Bruce       | Aven          | 320000   | 5  | 2000 |
| Bruce       | Aven          | 320000   | 2  | 2000 |
| Steve       | Avery         | 110000   | 0  | 1991 |
| Steve       | Avery         | 355000   | 0  | 1992 |
